인기 페이지,클릭수,노출,CTR,게재 순위
https://j2gblog.tistory.com/80,11,150,7.33%,7.79
https://j2gblog.tistory.com/m/124,4,100,4%,8.61
https://j2gblog.tistory.com/50,2,104,1.92%,12.38
https://j2gblog.tistory.com/133,2,10,20%,5.7
https://j2gblog.tistory.com/55,1,97,1.03%,7.86
https://j2gblog.tistory.com/77,1,80,1.25%,8.43
https://j2gblog.tistory.com/81,1,59,1.69%,7.85
https://j2gblog.tistory.com/63,1,34,2.94%,9.62
https://j2gblog.tistory.com/86,1,22,4.55%,6.23
https://j2gblog.tistory.com/78,1,19,5.26%,4.95
https://j2gblog.tistory.com/118,1,9,11.11%,46.11
https://j2gblog.tistory.com/m/132,1,8,12.5%,5.88
https://j2gblog.tistory.com/24,1,3,33.33%,10
https://j2gblog.tistory.com/114,0,296,0%,8.86
https://j2gblog.tistory.com/69,0,74,0%,7.04
https://j2gblog.tistory.com/83,0,51,0%,8.16
https://j2gblog.tistory.com/115,0,40,0%,12.88
https://j2gblog.tistory.com/62,0,35,0%,8.71
https://j2gblog.tistory.com/79,0,34,0%,17.62
https://j2gblog.tistory.com/75,0,33,0%,8.36
https://j2gblog.tistory.com/125,0,32,0%,7.66
https://j2gblog.tistory.com/70,0,31,0%,5.65
https://j2gblog.tistory.com/m/128,0,30,0%,4.03
https://j2gblog.tistory.com/m/116,0,29,0%,5.07
https://j2gblog.tistory.com/45,0,28,0%,11.86
https://j2gblog.tistory.com/m/87,0,23,0%,6.61
https://j2gblog.tistory.com/33,0,23,0%,16.74
https://j2gblog.tistory.com/76,0,22,0%,6.5
https://j2gblog.tistory.com/64,0,22,0%,7.14
https://j2gblog.tistory.com/58,0,22,0%,12.36
https://j2gblog.tistory.com/60,0,22,0%,23.86
https://j2gblog.tistory.com/96,0,22,0%,24.36
https://j2gblog.tistory.com/67,0,21,0%,12.1
https://j2gblog.tistory.com/22,0,20,0%,20.95
https://j2gblog.tistory.com/53,0,19,0%,5.68
https://j2gblog.tistory.com/66,0,18,0%,9.94
https://j2gblog.tistory.com/14,0,17,0%,12.71
https://j2gblog.tistory.com/68,0,16,0%,4.69
https://j2gblog.tistory.com/74,0,14,0%,8.5
https://j2gblog.tistory.com/65,0,13,0%,1.85
https://j2gblog.tistory.com/49,0,13,0%,7.38
https://j2gblog.tistory.com/31,0,13,0%,11.38
https://j2gblog.tistory.com/61,0,12,0%,1.92
https://j2gblog.tistory.com/84,0,12,0%,5.58
https://j2gblog.tistory.com/59,0,12,0%,7.17
https://j2gblog.tistory.com/105,0,12,0%,15.92
https://j2gblog.tistory.com/46,0,11,0%,4.18
https://j2gblog.tistory.com/71,0,11,0%,4.82
https://j2gblog.tistory.com/116,0,11,0%,14.09
https://j2gblog.tistory.com/m/16,0,11,0%,17.73
https://j2gblog.tistory.com/m/96,0,10,0%,8.9
https://j2gblog.tistory.com/54,0,10,0%,16.7
https://j2gblog.tistory.com/m/125,0,10,0%,21.2
https://j2gblog.tistory.com/85,0,9,0%,25.78
https://j2gblog.tistory.com/15,0,8,0%,5.75
https://j2gblog.tistory.com/97,0,8,0%,6.5
https://j2gblog.tistory.com/128,0,8,0%,7
https://j2gblog.tistory.com/56,0,8,0%,7.62
https://j2gblog.tistory.com/135,0,7,0%,5.71
https://j2gblog.tistory.com/87,0,7,0%,6.43
https://j2gblog.tistory.com/m/84,0,7,0%,7.43
https://j2gblog.tistory.com/m/95,0,7,0%,7.57
https://j2gblog.tistory.com/m/143,0,7,0%,9.71
https://j2gblog.tistory.com/entry/AI-구독료를-줄이는-방법-—-ChatGPT·Claude-유료-결제-전에-확인할-체크리스트,0,7,0%,13.29
https://j2gblog.tistory.com/47,0,6,0%,5.33
https://j2gblog.tistory.com/51,0,6,0%,5.33
https://j2gblog.tistory.com/m/46,0,6,0%,6
https://j2gblog.tistory.com/m/83,0,6,0%,6.33
https://j2gblog.tistory.com/21,0,6,0%,6.5
https://j2gblog.tistory.com/32,0,6,0%,7.5
https://j2gblog.tistory.com/36,0,6,0%,7.67
https://j2gblog.tistory.com/48,0,6,0%,8
https://j2gblog.tistory.com/m/105,0,6,0%,8.33
