인기 페이지,클릭수,노출,CTR,게재 순위
https://j2gblog.tistory.com/80,10,141,7.09%,7.77
https://j2gblog.tistory.com/m/124,2,53,3.77%,8.26
https://j2gblog.tistory.com/133,2,2,100%,4
https://j2gblog.tistory.com/50,1,103,0.97%,12.39
https://j2gblog.tistory.com/55,1,88,1.14%,7.99
https://j2gblog.tistory.com/77,1,84,1.19%,8.46
https://j2gblog.tistory.com/81,1,54,1.85%,7.85
https://j2gblog.tistory.com/69,1,51,1.96%,6.49
https://j2gblog.tistory.com/63,1,39,2.56%,9.15
https://j2gblog.tistory.com/86,1,21,4.76%,6.38
https://j2gblog.tistory.com/118,1,9,11.11%,46.11
https://j2gblog.tistory.com/24,1,3,33.33%,10
https://j2gblog.tistory.com/114,0,244,0%,8.98
https://j2gblog.tistory.com/83,0,42,0%,7.98
https://j2gblog.tistory.com/62,0,39,0%,8.26
https://j2gblog.tistory.com/75,0,32,0%,8.03
https://j2gblog.tistory.com/76,0,29,0%,6.31
https://j2gblog.tistory.com/64,0,27,0%,6.89
https://j2gblog.tistory.com/53,0,26,0%,4.96
https://j2gblog.tistory.com/125,0,25,0%,8.4
https://j2gblog.tistory.com/60,0,25,0%,21.16
https://j2gblog.tistory.com/78,0,24,0%,3.75
https://j2gblog.tistory.com/58,0,24,0%,11.21
https://j2gblog.tistory.com/67,0,24,0%,11.21
https://j2gblog.tistory.com/79,0,24,0%,21.58
https://j2gblog.tistory.com/70,0,22,0%,5.45
https://j2gblog.tistory.com/45,0,22,0%,14
https://j2gblog.tistory.com/96,0,22,0%,24.36
https://j2gblog.tistory.com/66,0,21,0%,7.86
https://j2gblog.tistory.com/68,0,20,0%,4.55
https://j2gblog.tistory.com/m/87,0,20,0%,6.4
https://j2gblog.tistory.com/74,0,20,0%,8.05
https://j2gblog.tistory.com/33,0,20,0%,15.45
https://j2gblog.tistory.com/22,0,18,0%,22.06
https://j2gblog.tistory.com/46,0,17,0%,4.35
https://j2gblog.tistory.com/59,0,16,0%,5.5
https://j2gblog.tistory.com/14,0,15,0%,13.6
https://j2gblog.tistory.com/65,0,14,0%,1.79
https://j2gblog.tistory.com/61,0,14,0%,2.07
https://j2gblog.tistory.com/71,0,14,0%,4.79
https://j2gblog.tistory.com/m/83,0,14,0%,5
https://j2gblog.tistory.com/m/46,0,13,0%,5.08
https://j2gblog.tistory.com/54,0,13,0%,13.46
https://j2gblog.tistory.com/115,0,11,0%,8.55
https://j2gblog.tistory.com/84,0,10,0%,5.8
https://j2gblog.tistory.com/105,0,10,0%,17.7
https://j2gblog.tistory.com/m/125,0,10,0%,21.2
https://j2gblog.tistory.com/47,0,9,0%,4.78
https://j2gblog.tistory.com/,0,9,0%,5.89
https://j2gblog.tistory.com/entry/전세대출-금리-비교-전에-확인할-7가지-—-최저금리만-보면-안-되는-이유,0,8,0%,1
https://j2gblog.tistory.com/51,0,8,0%,5.38
https://j2gblog.tistory.com/56,0,8,0%,6.12
https://j2gblog.tistory.com/m/84,0,8,0%,6.88
https://j2gblog.tistory.com/31,0,8,0%,11.75
https://j2gblog.tistory.com/49,0,7,0%,5.14
https://j2gblog.tistory.com/m/96,0,7,0%,7.86
https://j2gblog.tistory.com/m/143,0,7,0%,9.71
https://j2gblog.tistory.com/m/16,0,7,0%,15.86
https://j2gblog.tistory.com/m/50,0,6,0%,3
https://j2gblog.tistory.com/32,0,6,0%,7.5
https://j2gblog.tistory.com/36,0,6,0%,7.67
https://j2gblog.tistory.com/37,0,6,0%,13
https://j2gblog.tistory.com/116,0,6,0%,20.17
https://j2gblog.tistory.com/85,0,6,0%,20.5
https://j2gblog.tistory.com/48,0,5,0%,4
https://j2gblog.tistory.com/m/132,0,5,0%,5.8
https://j2gblog.tistory.com/97,0,5,0%,6.4
https://j2gblog.tistory.com/21,0,5,0%,7.2
https://j2gblog.tistory.com/m/95,0,5,0%,8.4
